title,description,type_collected_display,type_collected_code,type_collected_system,collection_display,collection_system,collection_code,patient_preparation_system,patient_preparation_code,patient_preparation_display,is_derived,single_use,preference,container_cap_display,container_cap_code,container_cap_system,container_minimumvolume,container_minimumvolume_unit_display,container_minimumvolume_unit_code,container_minimumvolume_unit_system,container_capacity_value,container_capacity_unit_display,container_capacity_unit_code,container_capacity_unit_system,retention_time_value,retention_time_unit_code,retention_time_unit_display,retention_time_unit_system,requirement,container_description,container_preparation,,,,,,,,,,,,,,,
Test for Dengue,Used to detect dengue virus infection either by identifying the NS1 antigen or by measuring dengue-specific antibodies.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Serum sample collected in a plain or serum separator tube.,A blood sample used to detect dengue infection through NS1 antigen or dengue IgM/IgG antibodies.,"Collect blood, allow to clot, centrifuge, and separate serum promptly.",,,,,,,,,,,,,,,
RPR/VDRL test for syphilis,Used to screen for syphilis infection by detecting non-treponemal antibodies in the blood.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,72,h,hours,http://unitsofmeasure.org,Serum sample collected in a plain or serum separator tube.,A serum sample tested for non-treponemal antibodies associated with syphilis infection.,"Collect blood, allow to clot, centrifuge, and separate serum promptly.",,,,,,,,,,,,,,,
RA factor (Quantitative),Helps assess rheumatoid arthritis by measuring the level of rheumatoid factor in the blood.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,2,h,hours,http://unitsofmeasure.org,Collect blood and separate serum promptly.,Serum separation tube used for immunological assays.,"Allow the sample to clot, centrifuge, and separate serum.",,,,,,,,,,,,,,,
CRP(including new born) (Quantitative),"Measures C-reactive protein levels to help detect inflammation or infection, including in newborns.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,2,h,hours,http://unitsofmeasure.org,Collect blood and separate serum promptly.,Serum or plasma tube suitable for inflammatory marker testing.,"Allow serum sample to clot if applicable, then centrifuge and separate.",,,,,,,,,,,,,,,
Urine culture- Mid stream urine collection,Used to detect and identify bacteria causing urinary tract infections and guide appropriate antibiotic treatment.,"Urine, Midstream",URINM,http://terminology.hl7.org/CodeSystem/v2-0487,Collection of mid-stream specimen of urine,http://snomed.info/sct,225271002,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,10,millilitre,mL,http://unitsofmeasure.org,60,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect sufficient urine in a sterile container; avoid contamination.,"Sterile, wide-mouth urine culture container.",Collect fresh midstream urine; close cap tightly; transport to lab promptly for culture.,,,,,,,,,,,,,,,
Urinalysis complete panel,"Used to screen for kidney issues, urinary infections, metabolic disorders, and general health status.","Urine, Midstream",URINM,http://terminology.hl7.org/CodeSystem/v2-0487,Collection of mid-stream specimen of urine,http://snomed.info/sct,225271002,,,,No,Yes,,Urine container,red,http://terminology.hl7.org/CodeSystem/container-cap,10,millilitre,mL,http://unitsofmeasure.org,60,millilitre,mL,http://unitsofmeasure.org,4,h,hours,http://unitsofmeasure.org,Fresh urine sample collected in a sterile container.,A freshly collected midstream urine sample used for dipstick chemical analysis.,Ensure clean-catch midstream urine; avoid contamination and delay in testing.,,,,,,,,,,,,,,,
Urine Microscopy,"Helps detect cells, crystals, casts, and organisms in urine to assess infections, kidney conditions, and urinary tract disorders.","Urine, Midstream",URINM,http://terminology.hl7.org/CodeSystem/v2-0487,Collection of mid-stream specimen of urine,http://snomed.info/sct,225271002,,,,No,Yes,,Not applicable (Urine container),red,http://terminology.hl7.org/CodeSystem/container-cap,10,millilitre,mL,http://unitsofmeasure.org,60,millilitre,mL,http://unitsofmeasure.org,4,h,hours,http://unitsofmeasure.org,Fresh urine sample collected in a sterile container; avoid delays to prevent cell lysis.,"Fresh midstream urine sample used for microscopic evaluation of cells, casts, crystals, and microorganisms.",Collect clean-catch midstream urine; sample should be examined promptly for best accuracy.,,,,,,,,,,,,,,,
Stool for ova and cyst,Used to detect intestinal parasites by identifying their eggs and cysts in stool.,Stool = Fecal,STL,http://terminology.hl7.org/CodeSystem/v2-0487,Collection of stool specimen,http://snomed.info/sct,225105004,,,,No,Yes,,Screw-cap stool collection container,red,http://terminology.hl7.org/CodeSystem/container-cap,Adequate to moisten swab,millilitre,mL,http://unitsofmeasure.org,50,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Fresh stool sample; avoid contamination with urine or water.,"A fresh stool sample is examined microscopically to detect parasitic ova, cysts, and trophozoites.","Collect stool in a clean, dry container; avoid mixing with toilet water; transport promptly for accurate detection.",,,,,,,,,,,,,,,
Stool for Occult Blood,"Used to detect hidden (occult) blood in stool, which may indicate gastrointestinal bleeding or disorders.",Stool = Fecal,STL,http://terminology.hl7.org/CodeSystem/v2-0487,Collection of stool specimen,http://snomed.info/sct,225105004,,,,No,Yes,,Screw-cap stool collection container,red,http://terminology.hl7.org/CodeSystem/container-cap,5,millilitre,mL,http://unitsofmeasure.org,60,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Fresh stool specimen free of urine or water contamination.,A stool sample analyzed using chemical or immunochemical methods to detect small amounts of hidden blood.,"Collect stool in a clean, dry container; avoid mixing with toilet water; deliver to lab promptly.",,,,,,,,,,,,,,,
Stool for hanging drop for Vibrio Cholera,Ordered to rapidly detect motile Vibrio cholerae organisms in suspected cholera cases.,Stool = Fecal,STL,http://terminology.hl7.org/CodeSystem/v2-0487,Collection of stool specimen,http://snomed.info/sct,225105004,,,,No,Yes,,Screw-cap,red,http://terminology.hl7.org/CodeSystem/container-cap,5,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,0,h,hours,http://unitsofmeasure.org,"Fresh, unpreserved stool specimen (preferably watery stool)",Sterile wide-mouth stool container,"Collect fresh stool, transfer a drop onto a slide with saline, prepare hanging drop, and examine immediately for motile vibrios",,,,,,,,,,,,,,,
Culture for Diptheria,Used to detect Corynebacterium diphtheriae from throat or nasal samples to confirm diphtheria infection.,"Secretion, Nasal",NSECR,http://terminology.hl7.org/CodeSystem/v2-0487,Taking nasal swab,http://snomed.info/sct,312882009,,,,No,Yes,,Swab tube cap (varies by manufacturer),,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,"Collect swabs aseptically; place in specialized transport medium (e.g., Loeffler’s serum medium if available)",Sterile swab with transport medium suitable for C. diphtheriae,Collect sample before starting antibiotics; send to laboratory immediately to maintain organism viability.,,,,,,,,,,,,,,,
Throat swab for Diphtheria,Ordered to detect Corynebacterium diphtheriae in suspected cases of diphtheria through microscopy and culture.,Brushing,BRUS,http://terminology.hl7.org/CodeSystem/v2-0487,Taking throat swab,http://snomed.info/sct,312880001,,,,No,Yes,,Plastic screw-cap or transport cap,,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,"Swab placed in appropriate transport medium (e.g., Amies/Stuarts) and processed quickly",Sterile swab with transport medium tube,"Collect swab from throat/tonsillar region or membrane area, place in transport medium, label, and send immediately for staining and culture.",,,,,,,,,,,,,,,
AFB examination -sputum,Ordered to check for tuberculosis or other acid-fast bacterial infections.,Sputum,SPT,http://terminology.hl7.org/CodeSystem/v2-0487,Collection of sputum,http://snomed.info/sct,37705003,,,,No,Yes,,Screw-cap,red,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,"Fresh sample collected in a sterile, leak-proof container",Sterile container for sputum or pus; sterile swab if required,"Collect in sterile container, label, and send immediately to the lab for AFB smear/culture.",,,,,,,,,,,,,,,
AFB examination- pus ,Ordered to check for tuberculosis or other acid-fast bacterial infections.,Sputum,SPT,http://terminology.hl7.org/CodeSystem/v2-0487,Swab,http://snomed.info/sct,257261003,,,,No,Yes,,Screw-cap,red,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,"Fresh sample collected in a sterile, leak-proof container",Sterile container for sputum or pus; sterile swab if required,"Collect in sterile container, label, and send immediately to the lab for AFB smear/culture.",,,,,,,,,,,,,,,
AFB examination - body fluid,Ordered to check for tuberculosis or other acid-fast bacterial infections.,Sputum,SPT,http://terminology.hl7.org/CodeSystem/v2-0487,Aspiration,http://snomed.info/sct,14766002,,,,No,Yes,,Screw-cap,red,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,"Fresh sample collected in a sterile, leak-proof container",Sterile container for sputum or pus; sterile swab if required,"Collect in sterile container, label, and send immediately to the lab for AFB smear/culture.",,,,,,,,,,,,,,,
Blood culture,Used to detect bacteria or fungi in the bloodstream to diagnose bloodstream infections and guide appropriate antimicrobial therapy.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,5,millilitre,mL,http://unitsofmeasure.org,10,millilitre,mL,http://unitsofmeasure.org,0,h,hours,http://unitsofmeasure.org,"Collect appropriate volume:

Adults: 8–10 mL per bottle

Pediatrics: 1–3 mL",Blood culture bottles with growth media (aerobic/anaerobic).,Disinfect venipuncture site thoroughly; collect required volume; invert gently; send to lab immediately for incubation.,,,,,,,,,,,,,,,
Visual Inspection Acetic Acid (VIA),Ordered to screen for early cervical abnormalities by applying acetic acid and visually inspecting the cervix.,Invalid,,http://terminology.hl7.org/CodeSystem/v2-0487,Acetic acid test,http://snomed.info/sct,252689003,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,0,h,hours,http://unitsofmeasure.org,Direct visualization of cervix after acetic acid application,Not applicable,"Expose cervix using speculum, apply acetic acid, wait 1 minute, inspect for acetowhite changes, and document findings.",,,,,,,,,,,,,,,
Cervix and vaginal cytology,"Used to examine cells from body fluids or tissues to help detect infections, inflammation, or abnormal/malignant cells.",Other,ORH,http://terminology.hl7.org/CodeSystem/v2-0487,Cytology examination - general,http://snomed.info/sct,168440009,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,10,h,hours,http://unitsofmeasure.org,Collect adequate sample and fix immediately as required.,Cytology container or slide with fixative appropriate for sample type.,Fix sample immediately; label slides/containers properly and send to lab promptly.,,,,,,,,,,,,,,,
Pap smear,"Used to screen for cervical cell abnormalities, precancerous changes, and cervical cancer.",Cervical Mucus,CVM,http://terminology.hl7.org/CodeSystem/v2-0487,"Cytopathology procedure, preparation of smear, genital source",http://snomed.info/sct,90226004,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,5,h,hours,http://unitsofmeasure.org,Collect sufficient cervical cells; fix smear immediately.,Glass slide or liquid-based cytology vial with fixative.,Spread sample evenly on slide and fix immediately OR transfer brush into LBC vial.,,,,,,,,,,,,,,,
TB – Mantoux,Ordered to check for exposure to Mycobacterium tuberculosis by assessing the skin’s reaction to tuberculin.,Invalid,,http://terminology.hl7.org/CodeSystem/v2-0487,Intradermal injection,http://snomed.info/sct,36673005,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,0,h,hours,http://unitsofmeasure.org,Proper intradermal administration and follow-up reading,PPD vial and tuberculin syringe (0.1 mL),"Inject PPD intradermally on the forearm, creating a wheal; instruct patient to return in 48–72 hours for induration measurement",,,,,,,,,,,,,,,
" Malaria-MP slide method- Finger Prick
 ","Used to detect malaria parasites (Plasmodium species) in blood by microscopic examination of thick and thin smears. Helps diagnose malaria infection, determine parasite density, and identify species.",Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Finger stick,http://snomed.info/sct,278450005,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,0,h,hours,http://unitsofmeasure.org,Prepare thick and thin blood smears promptly.,Thick smear enhances parasite detection; thin smear helps identify Plasmodium species. Smears are stained typically with Giemsa stain. Delay in smear preparation can alter morphology.,Prepare smears immediately; avoid haemolysis. Allow smears to air-dry before staining.,,,,,,,,,,,,,,,
" Malaria-MP slide method- Venipuncture
 ","Used to detect malaria parasites (Plasmodium species) in blood by microscopic examination of thick and thin smears. Helps diagnose malaria infection, determine parasite density, and identify species.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,, Lavender (EDTA) ,lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,0,h,hours,http://unitsofmeasure.org,Prepare thick and thin blood smears promptly.,Thick smear enhances parasite detection; thin smear helps identify Plasmodium species. Smears are stained typically with Giemsa stain. Delay in smear preparation can alter morphology.,Prepare smears immediately; avoid haemolysis. Allow smears to air-dry before staining.,,,,,,,,,,,,,,,
Malaria rapid test,"A rapid blood test that detects malarial antigens for quick diagnosis of malaria, especially where microscopy is not immediately available.",Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Finger stick,http://snomed.info/sct,278450005,,,,No,Yes,, ,,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,0,h,hours,http://unitsofmeasure.org,Detects Plasmodium antigens (PF/PV) in blood for quick diagnosis of malaria.,Detects Plasmodium antigens in blood using a simple antibody-based strip test for quick diagnosis.,Prepare smears immediately; avoid haemolysis. Allow smears to air-dry before staining.,,,,,,,,,,,,,,,
Human chorionic gonadotropin (HCG) (Urine test for pregnancy),Used to detect early pregnancy by identifying HCG hormone in urine.,"Urine, Midstream",URINM,http://terminology.hl7.org/CodeSystem/v2-0487,Spot urine procedure,http://snomed.info/sct,386099003,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,10,millilitre,mL,http://unitsofmeasure.org,60,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Clean container with freshly collected urine sample.,A fresh midstream urine sample used to qualitatively detect HCG levels.,Ensure clean-catch midstream sample; avoid contamination.,,,,,,,,,,,,,,,
Coombs test direct with titre,"Detects antibodies or complement components attached to a patient’s red blood cells. Helps diagnose autoimmune haemolytic anaemia, haemolytic disease of the newborn, transfusion reactions, and drug-induced haemolysis. A titre is performed to quantify the strength of the reaction.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Collect in EDTA tube; avoid haemolysis. Accurate patient identification is essential.,"Red cells are washed and tested with antihuman globulin to detect antibody attachment. If positive, serial dilutions are performed to determine antibody titre. Clotted samples or incorrect anticoagulant may give false results.",Invert tube 8–10 times to mix; ensure sample integrity. Prompt processing is preferred for reliable results.,,,,,,,,,,,,,,,
Coombs test indirect with titre,"Detects free circulating antibodies in a patient’s serum that may react with red blood cells. Commonly used in antenatal screening, pre-transfusion testing, and in evaluating alloimmunisation. When positive, a titre determines the strength and clinical significance of the detected antibodies.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,7,h,hours,http://unitsofmeasure.org,Collect sample in a plain red-top tube for serum or EDTA tube if plasma is required. Avoid haemolysis. Proper patient identification is essential.,"Patient serum/plasma is incubated with reagent red blood cells followed by antihuman globulin to detect agglutination. If positive, serial dilutions are performed to determine the antibody titre. Incorrect sample type or haemolysis may interfere with results.","Allow serum sample to clot fully if using red-top tube; centrifuge to separate serum. In EDTA tubes, invert gently 8–10 times to mix.",,,,,,,,,,,,,,,
Prothrombin Time (PT) and INR,"Measures the time taken for plasma to clot via the extrinsic and common coagulation pathways. Used to evaluate bleeding/clotting disorders, monitor warfarin therapy, assess liver function, and detect vitamin K deficiency. INR standardizes PT results across laboratories.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,Yes,Yes,,Light Blue (Sodium Citrate),light-blue,http://terminology.hl7.org/CodeSystem/container-cap,2.7,millilitre,mL,http://unitsofmeasure.org,3,millilitre,mL,http://unitsofmeasure.org,4,h,hours,http://unitsofmeasure.org,Collect in 3.2% sodium citrate tube with proper filling (correct blood-to-anticoagulant ratio).,"Sample must be centrifuged promptly to obtain platelet-poor plasma. Clotted, haemolysed, or underfilled tubes can produce inaccurate PT/INR results. INR is calculated using PT value and ISI (International Sensitivity Index).",Invert tube 3–4 times to mix anticoagulant. Process plasma quickly to avoid deterioration of clotting factors.,,,,,,,,,,,,,,,
Activated partial thromboplastin time,"Measures the time taken for plasma to clot via the intrinsic and common coagulation pathways. Used to evaluate bleeding disorders, monitor unfractionated heparin therapy, and assess deficiencies or inhibitors of clotting factors.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Light Blue (Sodium Citrate),light-blue,http://terminology.hl7.org/CodeSystem/container-cap,2.7,millilitre,mL,http://unitsofmeasure.org,3,millilitre,mL,http://unitsofmeasure.org,4,h,hours,http://unitsofmeasure.org,Collect in 3.2% sodium citrate tube with correct blood-to-anticoagulant ratio.,"Sample must be centrifuged to obtain platelet-poor plasma. Clotted, underfilled, or haemolysed samples can affect results. aPTT is sensitive to factor VIII, IX, XI, XII deficiencies and presence of inhibitors like lupus anticoagulant.",Invert tube 3–4 times to mix anticoagulant. Process and test plasma promptly.,,,,,,,,,,,,,,,
HIV test (Antibodies 1 and 2) ,Used to screen for HIV-1 and HIV-2 infection by detecting specific antibodies in the blood.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,7,h,hours,http://unitsofmeasure.org,"Serum or plasma sample collected in plain, SST, or EDTA tube depending on method.",A blood sample analyzed to detect antibodies to HIV-1 and HIV-2.,Collect sample and process as per lab standard method; avoid hemolysis.,,,,,,,,,,,,,,,
IgM antibody to hepatitis B core antigen (IgM anti-HBc),Ordered to detect a recent or acute Hepatitis B infection.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,7,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for immunoassay testing,Serology blood collection tube,"Collect blood, allow to clot if serum, separate sample, and send to lab per routine protocol.",,,,,,,,,,,,,,,
HCV Antibody Test (Anti HCV),Ordered to check if a person has been exposed to the Hepatitis C virus.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,7,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for immunoassay testing,Serology blood collection tube,Collect and label sample; allow clotting if serum; process and send for testing as per lab protocol.,,,,,,,,,,,,,,,
Typhoid test (IgM)- venipuncture,Ordered to detect recent infection with Salmonella typhi.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,5,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for immunoassay,Serology blood collection tube,Collect and label sample; allow clotting if serum; process as per routine lab guidelines.,,,,,,,,,,,,,,,
Typhoid test (IgM)- Finger prick,Ordered to detect recent infection with Salmonella typhi.,Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Finger stick,http://snomed.info/sct,278450005,,,,No,Yes,,Red,,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,0,h,hours,http://unitsofmeasure.org,"Requires one drop of fresh capillary blood, tested immediately using a rapid immunoassay.",Capillary blood collection device (lancet) and a microtube or test-specific strip/cassette for immediate testing.,"Ensure the patient’s finger is clean and dry, and the lancet and collection device are sterile and ready.",,,,,,,,,,,,,,,
S. Iron,"Ordered to measure iron levels in the blood to assess iron deficiency, anemia, or iron overload.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
Glycosylated haemoglobin (HbA1C),"Ordered to assess long-term blood sugar control over the past 2–3 months, mainly for diagnosing and monitoring diabetes.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,7,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. Sodium,"Ordered to measure sodium levels in the blood to assess fluid balance, kidney function, and electrolyte disorders.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S. Potassium,"Ordered to measure potassium levels to assess kidney function, acid–base balance, and conditions affecting heart and muscle function.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S.Ionised Calcium,"Ordered to measure the biologically active form of calcium in the blood, useful in evaluating parathyroid function, kidney disease, and critical care conditions.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,1,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
S.Chloride,"Ordered to measure chloride levels in the blood to assess fluid balance, acid–base status, and kidney function.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
Arterial blood gas test,"Ordered to measure oxygen, carbon dioxide, and blood pH levels to assess lung function, acid–base balance, and critical care status.",Line arterial,LNA,http://terminology.hl7.org/CodeSystem/v2-0487,Puncture of artery,http://snomed.info/sct,57931004,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,0,h,hours,http://unitsofmeasure.org,Heparinized blood sample collected anaerobically (no air bubbles),Pre-heparinized blood gas syringe,"Collect anaerobically, expel air bubbles, mix gently, keep sample on ice if delay, and send immediately for ABG analysis.",,,,,,,,,,,,,,,
Smear for leprosy,Ordered to detect Mycobacterium leprae using skin smear microscopy for diagnosis and classification of leprosy.,Skin,SKN,http://terminology.hl7.org/CodeSystem/v2-0487,Slit skin stain method,http://snomed.info/sct,386148007,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,7,h,hours,http://unitsofmeasure.org,Smear prepared on clean glass slides and stained for AFB detection,Glass slide(s) in a slide transport box,"Perform slit-skin smear, prepare thin smear on slide, allow to air-dry, label properly, and send for Ziehl–Neelsen or modified staining.",,,,,,,,,,,,,,,
