title,description,usage,category_name,classification,code_system,code_display,code_value,diagnostic_report_system,diagnostic_report_display,diagnostic_report_code,specimen_names,observation_names,
RPR/VDRL test for syphilis,A screening test that detects antibodies produced in response to syphilis infection.,"Used to diagnose active syphilis, monitor treatment response, and screen high-risk individuals.",Laboratory,laboratory,http://snomed.info/sct,RPR/VDRL test for syphilis,19869000,http://loinc.org,Invalid,20507-0,Smear for leprosy,Smear for leprosy,2
Culture for Diptheria,Detects Corynebacterium diphtheriae from clinical specimens to confirm diphtheria infection.,Used in patients with suspected diphtheria to confirm diagnosis and guide treatment and public health response.,Laboratory,laboratory,http://snomed.info/sct,Culture for Diptheria,122390000,http://loinc.org,Reagin Ab [Presence] in Serum by RPR,88584-8,Gram staining for clinical specimen,Gram staining for clinical specimen,
Blood culture,Detects bacteria or fungi in the bloodstream to diagnose septicemia or systemic infections.,"Used in patients with fever, sepsis, or suspected bloodstream infection to guide targeted antibiotic therapy.",Laboratory,laboratory,http://snomed.info/sct,Blood culture,30088009,http://loinc.org,Corynebacterium diphtheriae [Presence] in Upper respiratory specimen by Organism specific culture,48724-9,Test for Leptospirosis,Test for Leptospirosis,
Other cultures -swab,Cultures performed on clinical specimens to detect bacteria or fungi causing localized infections.,"Used to diagnose infection at specific sites (skin, wounds, throat, abscesses, respiratory tract) and guide targeted antimicrobial therapy.",Laboratory,laboratory,http://snomed.info/sct,Other cultures -swab,61594008,http://loinc.org,Bacteria # 3 identified in Blood by Culture,11475-1,Test for Chikungunya,Test for Chikungunya,
Culture of stool specimen for Vibrio cholerae and other common bacterial enteropathogens,Identifies Vibrio cholerae and other bacteria causing diarrheal diseases through selective stool culture.,"Used to diagnose cholera and other bacterial gastroenteritis, and to guide appropriate antimicrobial therapy.",Laboratory,laboratory,http://snomed.info/sct,Culture of stool specimen for Vibrio cholerae and other common bacterial enteropathogens,104191004,http://loinc.org,Microorganism identified in Specimen by Culture,92686-5,IgM for Measles,IgM for Measles,
Organism identification and antimicrobial sensitivity for cultures- swab,Determines the specific microorganism grown in culture and evaluates its sensitivity to antibiotics.,Used to guide targeted antimicrobial therapy and confirm the causative organism in infections.,Laboratory,laboratory,http://snomed.info/sct,Organism identification and antimicrobial sensitivity for cultures- swab,108266002,http://loinc.org,Vibrio cholerae+parahaemolyticus+vulnificus DNA [Presence] in Stool by NAA with probe detection,11475-1,Urine Pregnancy Test (UPT),Urine Pregnancy Test (UPT),
IgM antibody to hepatitis B core antigen (IgM anti-HBc),"Detects IgM antibodies against the core antigen of Hepatitis B, indicating recent or acute infection.","Used to diagnose acute Hepatitis B, distinguish new infection from chronic infection, and support early clinical assessment.",Laboratory,laboratory,http://snomed.info/sct,IgM antibody to hepatitis B core antigen (IgM anti-HBc),315132007,http://loinc.org,Microorganism identified in Specimen by Culture,22316-4,CRP(including new born) (Quantitative),CRP(including new born) (Quantitative),
HCV Antibody Test (Anti HCV),Screens for antibodies produced in response to Hepatitis C virus infection.,Used to detect past or current HCV infection and identify individuals who need confirmatory testing.,Laboratory,laboratory,http://snomed.info/sct,HCV Antibody Test (Anti HCV),64411004,http://loinc.org,Hepatitis B virus core Ab [Units/volume] in Serum,22327-1,"Fluid analysis -biochemistry including Glucose, Protein, LDH","Fluid analysis -biochemistry including Glucose, Protein, LDH",
Hepatitis B surface antigen test,Detects the presence of Hepatitis B surface antigen in the blood.,Used to screen for active Hepatitis B infection and identify carriers.,Laboratory,laboratory,http://snomed.info/sct,Hepatitis B surface antigen test,47758006,http://loinc.org,Hepatitis C virus Ab [Units/volume] in Serum,5195-3,Other cultures -swab,Other cultures -swab,
TB – Mantoux,A skin test that measures the immune response to injected tuberculin to screen for tuberculosis infection.,"Used to identify latent or active TB infection, especially in high-risk individuals.",Laboratory,laboratory,http://snomed.info/sct,TB – Mantoux,424489006,http://loinc.org,Hepatitis B virus surface Ag [Presence] in Serum,39263-9,Culture of stool specimen for Vibrio cholerae and other common bacterial enteropathogens,Culture of stool specimen for Vibrio cholerae and other common bacterial enteropathogens,
Nucleic Acid Amplification Test (NAAT) for TB,Detects Mycobacterium tuberculosis DNA in clinical samples using molecular techniques.,"Used for rapid diagnosis of TB, early detection of drug resistance (especially rifampicin), and guiding prompt treatment.",Laboratory,laboratory,http://snomed.info/sct,Nucleic Acid Amplification Test (NAAT) for TB,69363007,http://loinc.org,Tuberculin screen test status CPHS,38379-4,Organism identification and antimicrobial sensitivity for cultures- swab,Organism identification and antimicrobial sensitivity for cultures- swab,
AFB examination -sputum,"Microscopic examination to detect acid-fast bacilli, mainly used for diagnosing tuberculosis.","Used to identify TB infection and monitor treatment response, especially in pulmonary or extrapulmonary TB.",Laboratory,laboratory,http://snomed.info/sct,AFB examination -sputum,406979008,http://loinc.org,Mycobacterium tuberculosis complex DNA [Presence] in Specimen by NAA with probe detection,647-8,Nucleic Acid Amplification Test (NAAT) for TB,Nucleic Acid Amplification Test (NAAT) for TB,2
AFB examination- pus ,"Microscopic examination to detect acid-fast bacilli, mainly used for diagnosing tuberculosis.","Used to identify TB infection and monitor treatment response, especially in pulmonary or extrapulmonary TB.",Laboratory,laboratory,http://snomed.info/sct,AFB examination- pus ,406979008,http://loinc.org,Microscopic observation [Identifier] in Sputum by Acid fast stain.Ziehl-Neelsen,647-8,S. Lipase,S. Lipase,
AFB examination - body fluid,"Microscopic examination to detect acid-fast bacilli, mainly used for diagnosing tuberculosis.","Used to identify TB infection and monitor treatment response, especially in pulmonary or extrapulmonary TB.",Laboratory,laboratory,http://snomed.info/sct,AFB examination - body fluid,406979008,http://loinc.org,Microscopic observation [Identifier] in Sputum by Acid fast stain.Ziehl-Neelsen,647-8,Blood Urea Nitrogen (BUN),Blood Urea Nitrogen (BUN),
" Malaria-MP slide method- Finger Prick
 ",Tests used to detect malaria parasites in the blood through microscopic examination or rapid antigen detection.,"Used to diagnose malaria infection, identify species, and guide treatment decisions.",Laboratory,laboratory,http://snomed.info/sct," Malaria-MP slide method- Finger Prick
 ",117023006,http://loinc.org,Microscopic observation [Identifier] in Sputum by Acid fast stain.Ziehl-Neelsen,32700-7,Urine Sugar measurement,Urine Sugar measurement,2
" Malaria-MP slide method- Venipuncture
 ",Tests used to detect malaria parasites in the blood through microscopic examination or rapid antigen detection.,"Used to diagnose malaria infection, identify species, and guide treatment decisions.",Laboratory,laboratory,http://snomed.info/sct," Malaria-MP slide method- Venipuncture
 ",117023006,http://loinc.org,Microscopic observation [Identifier] in Blood by Malaria smear,32700-7,Urine Sugar (Test strip),Urine Sugar (Test strip),2
Visual Inspection Acetic Acid (VIA),A cervical screening test where the cervix is examined after applying 3–5% acetic acid to identify precancerous changes.,"Used for early detection of cervical precancerous lesions, especially in low-resource or primary care settings.",Laboratory,laboratory,http://snomed.info/sct,Visual Inspection Acetic Acid (VIA),252689003,http://loinc.org,Microscopic observation [Identifier] in Blood by Malaria smear,,RDW,RDW,
Cervix and vaginal cytology,"Microscopic examination of cells collected from body fluids or tissues to detect abnormalities, infections, or cancerous changes.","Used to screen and diagnose conditions affecting the cervix (Pap smear), respiratory tract, urinary tract, and other body sites.",Laboratory,laboratory,http://snomed.info/sct,Cervix and vaginal cytology,Cervix and vaginal cytology,http://loinc.org,Plasmodium sp Ag [Presence] in Blood by Immunoassay,33717-0,PDW,PDW,
Pap smear,"A cytology test that examines cervical cells to detect precancerous changes, infections, or cervical cancer.",Used for routine cervical cancer screening and to evaluate abnormal vaginal or cervical symptoms.,Laboratory,laboratory,http://snomed.info/sct,Pap smear,446914005,http://loinc.org,Invalid,19765-7,MPV,MPV,
Human chorionic gonadotropin (HCG) (Urine test for pregnancy),Detects the presence of HCG hormone in urine to confirm pregnancy.,"Used as a quick, non-invasive screening test for early pregnancy.",Laboratory,laboratory,http://snomed.info/sct,Human chorionic gonadotropin (HCG) (Urine test for pregnancy),104406007,http://loinc.org,Cervical AndOr vaginal cytology study,110413-2,MCH,MCH,2
Arterial blood gas test,"Measures oxygenation, ventilation, and acid–base status by analyzing gases and pH in arterial blood.","Used in critical care to assess respiratory function, metabolic status, oxygen therapy needs, and acid–base disturbances.",Laboratory,laboratory,http://snomed.info/sct,Arterial blood gas test,60170009,http://loinc.org,Microscopic observation [Identifier] in Cervical or vaginal smear or scraping by Cyto stain,24336-0,MCV,MCV,
S. LDH,"Measures LDH enzyme levels, which increase with tissue damage in many organs.","Used to assess hemolysis, liver disease, muscle injury, certain cancers, and overall cell damage.",Laboratory,laboratory,http://snomed.info/sct,S. LDH,313854008,http://loinc.org,Invalid,14804-9,MCHC,MCHC,
Test for Dengue,Detects dengue virus infection using antigen or antibody-based methods.,"Used to diagnose acute dengue infection, monitor disease progression, and guide clinical management.",Laboratory,laboratory,http://snomed.info/sct,Test for Dengue,399302007,http://loinc.org,Gas panel - Arterial blood,104595-4,"Coagulation Profile (PT ,INR, aPTT)","Coagulation Profile (PT ,INR, aPTT)",
Throat swab for Diphtheria,"A microbiological culture test performed on a throat swab specimen to identify Corynebacterium diphtheriae, the causative organism of diphtheria.",Used in suspected cases of diphtheria to confirm infection and guide treatment and public health measures.,Laboratory,laboratory,http://snomed.info/sct,Throat swab for Diphtheria,122390000,http://loinc.org,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,14479-0,Routine Hematoxylin and Eosin (H&E) staining,Routine Hematoxylin and Eosin (H&E) staining,
Gram staining for clinical specimen,Detects Corynebacterium diphtheriae from a throat specimen to diagnose diphtheria.,Used to guide early diagnosis of bacterial infections and support antibiotic selection before culture results.,Laboratory,laboratory,http://snomed.info/sct,Gram staining for clinical specimen,391245000,http://loinc.org,Dengue virus Ab.IgG and IgM and NS1 Ag panel - Serum or Plasma,664-3,FNAC - Routine MGG,FNAC - Routine MGG,
Stool for hanging drop for Vibrio Cholera,A rapid microscopic test to detect motile Vibrio cholerae in fresh stool.,Used in suspected cholera cases for quick bedside diagnosis before culture confirmation.,Laboratory,laboratory,http://snomed.info/sct,Stool for hanging drop for Vibrio Cholera,88238009,http://loinc.org,Diphtheria identified in Throat by Organism specific culture,,FNAC - Special stain when necessary,FNAC - Special stain when necessary,
Typhoid test (IgM)- venipuncture,"Detects IgM antibodies specific to Salmonella typhi, indicating recent typhoid infection.","Used to diagnose acute typhoid fever, especially in early stages when cultures may be negative.",Laboratory,laboratory,http://snomed.info/sct,Typhoid test (IgM)- venipuncture,104294000,http://loinc.org,Microscopic observation [Identifier] in Specimen by Gram stain,17566-1,FNAC – USG guided,FNAC – USG guided,
Typhoid test (IgM)- Finger prick,"Detects IgM antibodies specific to Salmonella typhi, indicating recent typhoid infection.","Used to diagnose acute typhoid fever, especially in early stages when cultures may be negative.",Laboratory,laboratory,http://snomed.info/sct,Typhoid test (IgM)- Finger prick,104294000,http://loinc.org,Invalid,17566-1,Bronchioalveolar lavage fluid for cytology,Bronchioalveolar lavage fluid for cytology,
Smear for leprosy,Detects acid-fast Mycobacterium leprae in skin or nasal smears to support the diagnosis of leprosy.,"Used to confirm multibacillary disease, assess bacterial load, and monitor treatment response.",Laboratory,laboratory,http://snomed.info/sct,Smear for leprosy,406979008,http://loinc.org,Salmonella typhi O Ab [Presence] in Serum,11545-1,S. Globulin,S. Globulin,
IgM for Measles,Detects IgM antibodies produced in response to recent measles infection.,"Used to confirm acute measles in patients with fever, rash, and respiratory symptoms, especially during outbreaks.",Laboratory,laboratory,http://snomed.info/sct,IgM for Measles,315150000,http://loinc.org,Salmonella typhi O Ab [Presence] in Serum,21503-8,Widal test,Widal test,
Test for Leptospirosis,Detects antibodies or antigens related to Leptospira infection.,"Used to diagnose leptospirosis in patients with fever, jaundice, muscle pain, or exposure to contaminated water.",Laboratory,laboratory,http://snomed.info/sct,Test for Leptospirosis,165826003,http://loinc.org,Microscopic observation [Identifier] in Specimen by Acid fast stain,56953-3,Dengue NS1,Dengue NS1,
Test for Chikungunya,Detects IgM antibodies or viral components associated with Chikungunya virus infection.,"Used to diagnose suspected Chikungunya in patients with fever, severe joint pain, or rash.",Laboratory,laboratory,http://snomed.info/sct,Test for Chikungunya,443346009,http://loinc.org,Measles virus IgM Ab [Presence] in Serum,26623-9,Dengue IgM Antibody,Dengue IgM Antibody,
FNAC - Routine MGG,"Fine Needle Aspiration Cytology with May-Grünwald-Giemsa staining, where cells are aspirated from a mass or lesion and stained for microscopic examination.",Used for initial cytological evaluation of superficial lumps and masses to differentiate benign from malignant lesions and guide further management.,Laboratory,laboratory,http://snomed.info/sct,FNAC - Routine MGG,48635004,http://loinc.org,Leptospira interrogans IgM Ab [Presence] in Serum by Immunoassay,,Dengue IgG Antibody,Dengue IgG Antibody,
FNAC - Special stain when necessary,"Fine Needle Aspiration Cytology with additional special staining techniques (e.g., PAS, Alcian Blue, ZN stain) applied as needed to identify specific cellular components or organisms.","Used when routine staining is inconclusive, to identify specific organisms (e.g., acid-fast bacilli), substances (e.g., mucin, glycogen), or to further characterize lesions for accurate diagnosis.",Laboratory,laboratory,http://snomed.info/sct,FNAC - Special stain when necessary,48635004,http://loinc.org,Chikungunya virus Ab [Presence] in Serum,,HBsAg (Quantitative),HBsAg (Quantitative),
FNAC – USG guided,Fine Needle Aspiration Cytology performed under real-time ultrasound guidance to accurately target deep-seated or non-palpable lesions for cell aspiration.,"Used for cytological evaluation of deep or difficult-to-access masses in organs such as the thyroid, liver, lymph nodes, and other soft tissues to obtain accurate diagnostic samples.",Laboratory,laboratory,http://snomed.info/sct,FNAC – USG guided,48635004,http://loinc.org,Invalid,,Rapid malaria test for PF,Rapid malaria test for PF,
Bronchioalveolar lavage fluid for cytology,A cytological examination of fluid collected by washing (lavaging) the bronchial and alveolar spaces of the lung during bronchoscopy.,"Used to diagnose pulmonary infections, interstitial lung diseases, pulmonary hemorrhage, and malignancies by evaluating the cellular composition of the lavage fluid.",Laboratory,laboratory,http://snomed.info/sct,Bronchioalveolar lavage fluid for cytology,359825008,http://loinc.org,Invalid,50007-4,Rapid malaria test for PV,Rapid malaria test for PV,
Widal test,Serological agglutination test detecting antibodies against Salmonella Typhi and Paratyphi antigens. Used in the supportive diagnosis of enteric fever.,Used to support the diagnosis of enteric (typhoid) fever by detecting antibodies against Salmonella O and H antigens.,Laboratory,laboratory,http://snomed.info/sct,Widal test,165828002,http://loinc.org,Invalid,34371-5,ZN Stain for Extra pulmonary sample,ZN Stain for Extra pulmonary sample,2
Dengue NS1,An immunoassay test that detects the Non-Structural protein 1 (NS1) antigen of the dengue virus in the blood during early stages of infection.,"Used for early diagnosis of dengue fever, typically within the first 1-5 days of symptom onset, before antibody responses develop.",Laboratory,laboratory,http://snomed.info/sct,Dengue NS1,122176006,http://loinc.org,Cytology report of Bronchoalveolar lavage Cyto stain,101206-1,Stool R/E and parasites,Stool R/E and parasites,
Dengue IgM Antibody,An immunoassay test that detects IgM antibodies produced by the immune system in response to a current or recent dengue virus infection.,"Used to diagnose acute or recent dengue infection, typically detectable from day 4-5 of illness onset, and to support surveillance and epidemiological monitoring.",Laboratory,laboratory,http://snomed.info/sct,Dengue IgM Antibody,409689006,http://loinc.org,Salmonella typhi H Ab [Titer] in Serum by Agglutination,25338-5,Stool for ova and cyst,Stool for ova and cyst,
Dengue IgG Antibody,"An immunoassay test that detects IgG antibodies against the dengue virus, which indicate a past or secondary dengue infection.","Used to identify past dengue exposure, differentiate between primary and secondary dengue infections, and assess population-level dengue seroprevalence.",Laboratory,laboratory,http://snomed.info/sct,Dengue IgG Antibody,409691003,http://loinc.org,Dengue virus NS1 Ag [Units/volume] in Serum or Plasma by Immunoassay,29676-4,Stool for Occult Blood,Stool for Occult Blood,
HBsAg (Quantitative),A quantitative immunoassay that measures the concentration of Hepatitis B surface antigen (HBsAg) in the serum.,"Used to confirm Hepatitis B virus infection, monitor disease progression, assess treatment response to antiviral therapy, and predict outcomes in chronic Hepatitis B patients.",Laboratory,laboratory,http://snomed.info/sct,HBsAg (Quantitative),47758006,http://loinc.org,Dengue virus IgM Ab [Presence] in Serum,58452-4,Platelet count and morphology.,Platelet count and morphology.,2
Rapid malaria test for PF,A rapid immunochromatographic test that specifically detects Plasmodium falciparum antigens (primarily HRP-2) in the blood.,"Used for rapid and specific diagnosis of Plasmodium falciparum malaria, the most virulent species, to enable prompt initiation of species-appropriate antimalarial treatment.",Laboratory,laboratory,http://snomed.info/sct,Rapid malaria test for PF,391513009,http://loinc.org,Dengue virus IgG Ab [Presence] in Serum,76772-3,Absolute neutrophil count,Absolute neutrophil count,
Rapid malaria test for PV,Detects P. vivax–specific antigens in blood. Used for rapid malaria diagnosis.,Used for rapid diagnosis of Plasmodium vivax malaria in febrile patients.,Laboratory,laboratory,http://snomed.info/sct,Rapid malaria test for PV,391513009,http://loinc.org,Hepatitis B virus surface Ag [Units/volume] in Serum,,Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Venipuncture),Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Venipuncture),
ZN Stain for Extra pulmonary sample,"Ziehl-Neelsen acid-fast staining technique applied to extra-pulmonary specimens (e.g., tissue, body fluids, CSF, lymph node aspirate) to detect acid-fast bacilli (AFB).","Used to diagnose extra-pulmonary tuberculosis and other mycobacterial infections in sites outside the lungs, such as lymph nodes, bones, joints, abdomen, and meninges.",Laboratory,laboratory,http://snomed.info/sct,ZN Stain for Extra pulmonary sample,406979008,http://loinc.org,Plasmodium falciparum Ag [Presence] in Blood by Rapid immunoassay,656-9,Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Heel Prick Test),Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Heel Prick Test),
Stool R/E and parasites,"A routine microscopic examination of stool specimen to evaluate its physical, chemical, and microscopic characteristics including the presence of ova, cysts, and parasites.","Used to diagnose gastrointestinal infections, identify parasitic infestations, detect occult blood, assess fat malabsorption, and evaluate causes of diarrhea and abdominal symptoms.",Laboratory,laboratory,http://snomed.info/sct,Stool R/E and parasites,167695006,http://loinc.org,Plasmodium sp Ag [Identifier] in Blood by Rapid immunoassay,20924-7,Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC)(Dried blood spot specimen),Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC)(Dried blood spot specimen),
Sickling Test for Sickle cell anemia*,A screening blood test that induces red blood cell sickling under low-oxygen conditions to detect the presence of sickle hemoglobin.,Used for preliminary screening of sickle cell anemia and sickle cell trait.,Laboratory,laboratory,http://snomed.info/sct,Sickling Test for Sickle cell anemia*,252289009,http://loinc.org,Microscopic observation [Identifier] in Specimen by Acid fast stain.Ziehl-Neelsen,,Glucose Tolerance test (GTT),Glucose Tolerance test (GTT),
S. Total Iron binding capacity,Measures the maximum amount of iron that can be bound by transferrin in the blood.,Used to assess iron deficiency anemia and disorders of iron metabolism.,Laboratory,laboratory,http://snomed.info/sct,S. Total Iron binding capacity,271027001,http://loinc.org,Ova and parasites identified in Stool by Parasite sedimentation,2500-7,,,
